# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.12.1

allplayernames::0ec8fa68-ac56-47de-af4c-7d6cdfbbbc05, string, 800E47686F7374726561706572383537
allplayernames::1cfa57d4-af45-46fa-a7f3-d70675567262, string, 800862627676625F5954
allplayernames::2a6baa5e-bf5a-4d18-b91d-8814158d7bcb, string, 800E536368617474656E46616269616E
allplayernames::2d6becc6-2a7d-4422-8ef5-6c0dcf8e0451, string, 800B4A61794A61793135303931
allplayernames::2ec158eb-aa44-4d0e-9aef-2751d341b485, string, 800A505F695F785F615F6C5F
allplayernames::2f79ae0b-0e79-4cb5-9c5b-4bdf95fa9f46, string, 80096963687365696E6569
allplayernames::03e6f46b-2549-46e6-a385-51b46a35419b, string, 800A417066656C7361667431
allplayernames::4a6da52f-42b5-4564-baf5-b060e2a9772c, string, 800D4D6178694D696368656C736F6E
allplayernames::4f797837-9479-48d4-b9c4-271022280764, string, 8007416469637A6978
allplayernames::5d90f9bd-802d-4de8-9602-a1b31f4e365f, string, 801048656E6E696E6761757342617965726E
allplayernames::8c63fceb-231a-4651-be2c-3cf112892068, string, 800F4A756C65734D696E65637261667431
allplayernames::32a93f4d-2215-4072-ab1d-e82f6544f1ed, string, 8009556D75626572474847
allplayernames::35e3ad4c-a41e-41c3-b7f2-8584a2eb47ce, string, 800650616C746F78
allplayernames::48cfb139-7894-4856-8d29-49222ca292a5, string, 800F53686F776D61737465723144455343
allplayernames::54cf705a-88c3-4548-a6a4-8b7fb49c0215, string, 80094C696576656E676867
allplayernames::54e6d0f2-2c0c-4185-b0ab-d64e388a3bea, string, 800741666665343830
allplayernames::072e2c78-d1ff-42b2-ab85-4a8b8c780bdf, string, 80077A47616E647979
allplayernames::248d32a1-dc0f-4e73-a1e1-67bbd00efd5f, string, 800845726E7374313233
allplayernames::769b0a20-cf9a-4bd7-bae5-f6acd07a29ba, string, 800B584E6565644E6F4E616D65
allplayernames::5325a106-6ef4-4fbd-9d09-847471c9a25b, string, 800B7842716262795F43717278
allplayernames::6544d4ef-6a60-48c4-9bb0-26a2304f8303, string, 800D506978656C6372616674363636
allplayernames::4143714f-c27a-45bc-a288-1c984f5b8f96, string, 800745696B33303031
allplayernames::45726961-c646-41da-9be5-92639e903a78, string, 800E5A776569666163686D6178787878
allplayernames::a991684d-69bc-48a2-8e0b-ed76b3c6d348, string, 80074A474932303131
allplayernames::b3f6e258-c803-4247-8f90-519c946b1a14, string, 800E417262656974736265616D746572
allplayernames::b7f5a011-cec7-4f24-b30e-8bcd219f72fd, string, 800B6B696C6C65723132333434
allplayernames::c3cfaecd-cc8d-4162-8f96-db307c7ffded, string, 800F46616E63696572506C6F7432303532
allplayernames::c29c070d-c6cb-431f-8df1-260df7e70aaf, string, 800D5363687761727A52616E676572
allplayernames::da40e6bc-d08b-432d-916a-ce7fc6cb3a57, string, 80094D696E657231366D61
allplayernames::e6bd9bf0-c05b-4712-8471-d4e15cf1334e, string, 800D4B7567656C4C75636873333131
allplayernames::e45d30de-aa34-4cba-970e-3431e5984e4e, string, 800A785842656E4D616E5878
allplayernames::f4369103-7968-47c1-a997-7864a830534f, string, 800C4665756572737465696E3130
allplayernames::fa67da7c-7e7a-41fb-a7da-6be53c996ee9, string, 800C4C656F6D696368656C736F6E
allplayernames::fc3ea464-e7e1-4545-9cc8-7dfea77baff8, string, 800E54696D6D69637261667465723232
allplayernames::fd00afed-0956-44db-9b82-32ebc50e856b, string, 80095468655F4F6C655954
beetroots::0ec8fa68-ac56-47de-af4c-7d6cdfbbbc05, long, 0000000000000000
beetroots::1cfa57d4-af45-46fa-a7f3-d70675567262, long, 0000000000000000
beetroots::2a6baa5e-bf5a-4d18-b91d-8814158d7bcb, long, 0000000000000000
beetroots::2d6becc6-2a7d-4422-8ef5-6c0dcf8e0451, long, 0000000000000000
beetroots::2d43919f-6109-42cc-99f9-64e7a6ad7af2, long, 0000000000000000
beetroots::2ec158eb-aa44-4d0e-9aef-2751d341b485, long, 0000000000000000
